"cbsa","cbsaname","intptlon","intptlat","pop2k","afact"
"cbsa","CBSA Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"20140","Dublin, GA Micropolitan Statistical Area",-82.88522,32.548087,53434,1 
"20180","DuBois, PA Micropolitan Statistical Area",-78.5036,40.991712,83382,1 
"20220","Dubuque, IA Metropolitan Statistical Area",-90.756997,42.494605,89143,1 
"20260","Duluth, MN-WI Metropolitan Statistical Area",-92.295151,46.972243,275486,1 
"20300","Dumas, TX Micropolitan Statistical Area",-101.954023,35.902999,20121,1 
"20340","Duncan, OK Micropolitan Statistical Area",-97.94227,34.516339,43182,1 
"20380","Dunn, NC Micropolitan Statistical Area",-78.823319,35.362527,91025,1 
"20420","Durango, CO Micropolitan Statistical Area",-107.811967,37.263909,43941,1 
"20460","Durant, OK Micropolitan Statistical Area",-96.379391,33.974202,36534,1 
"20500","Durham, NC Metropolitan Statistical Area",-79.002848,35.991346,426493,1 
"20540","Dyersburg, TN Micropolitan Statistical Area",-89.360867,36.057118,37279,1 
"20580","Eagle Pass, TX Micropolitan Statistical Area",-100.480609,28.704236,47297,1 
"20620","East Liverpool-Salem, OH Micropolitan Statistical Area",-80.727805,40.773426,112075,1 
"20660","Easton, MD Micropolitan Statistical Area",-76.105328,38.769171,33812,1 
"20700","East Stroudsburg, PA Micropolitan Statistical Area",-75.308443,41.032378,138687,1 
"20740","Eau Claire, WI Metropolitan Statistical Area",-91.409077,44.864928,148337,1 
"20780","Edwards, CO Micropolitan Statistical Area",-106.635193,39.53858,49471,1 
"20820","Effingham, IL Micropolitan Statistical Area",-88.575522,39.094705,34264,1 
"20900","El Campo, TX Micropolitan Statistical Area",-96.173512,29.279119,41188,1 
"20940","El Centro, CA Metropolitan Statistical Area",-115.523859,32.845927,142361,1 
"20980","El Dorado, AR Micropolitan Statistical Area",-92.643318,33.206069,45629,1 
"21020","Elizabeth City, NC Micropolitan Statistical Area",-76.277231,36.279747,53150,1 
"21060","Elizabethtown, KY Metropolitan Statistical Area",-85.89532,37.728559,107547,1 
"21120","Elk City, OK Micropolitan Statistical Area",-99.517192,35.359281,19799,1 
"21140","Elkhart-Goshen, IN Metropolitan Statistical Area",-85.909546,41.638829,182791,1 
"21220","Elko, NV Micropolitan Statistical Area",-115.516162,40.843694,46942,1 
"21260","Ellensburg, WA Micropolitan Statistical Area",-120.627526,47.047952,33362,1 
"21300","Elmira, NY Metropolitan Statistical Area",-76.812338,42.116644,91070,1 
"21340","El Paso, TX Metropolitan Statistical Area",-106.386914,31.781616,679622,1 
"21380","Emporia, KS Micropolitan Statistical Area",-96.207599,38.410574,38965,1 
"21420","Enid, OK Micropolitan Statistical Area",-97.882343,36.397427,57813,1 
"21460","Enterprise-Ozark, AL Micropolitan Statistical Area",-85.770751,31.37313,92744,1 
"21500","Erie, PA Metropolitan Statistical Area",-80.069684,42.068861,280843,1 
"21540","Escanaba, MI Micropolitan Statistical Area",-87.064951,45.801218,38520,1 
"21580","Espanola, NM Micropolitan Statistical Area",-106.20119,36.197407,41190,1 
"21640","Eufaula, AL-GA Micropolitan Statistical Area",-85.287418,31.848806,31636,1 
"21660","Eugene-Springfield, OR Metropolitan Statistical Area",-123.115024,44.037904,322959,1 
"21700","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",-124.087383,40.756735,126518,1 
"21740","Evanston, WY Micropolitan Statistical Area",-110.771579,41.273058,19742,1 
"21780","Evansville, IN-KY Metropolitan Statistical Area",-87.549475,37.984148,342815,1 
"21820","Fairbanks, AK Metropolitan Statistical Area",-147.605138,64.824277,82840,1 
"21860","Fairmont, MN Micropolitan Statistical Area",-94.511041,43.666839,21802,1 
"21900","Fairmont, WV Micropolitan Statistical Area",-80.182701,39.487262,56598,1 
"21980","Fallon, NV Micropolitan Statistical Area",-118.793495,39.472837,23982,1 
"22020","Fargo, ND-MN Metropolitan Statistical Area",-96.802267,46.866,174367,1 
"22060","Faribault-Northfield, MN Micropolitan Statistical Area",-93.259472,44.366322,56665,1 
"22100","Farmington, MO Micropolitan Statistical Area",-90.4928,37.832624,55641,1 
"22140","Farmington, NM Metropolitan Statistical Area",-108.234982,36.713058,113801,1 
"22180","Fayetteville, NC Metropolitan Statistical Area",-78.963596,35.056353,336609,1 
"22220","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",-94.194833,36.230146,347045,1 
"22260","Fergus Falls, MN Micropolitan Statistical Area",-95.79863,46.402289,57159,1 
"22280","Fernley, NV Micropolitan Statistical Area",-119.327395,39.283426,34501,1 
"22300","Findlay, OH Micropolitan Statistical Area",-83.643277,41.038401,71295,1 
"22340","Fitzgerald, GA Micropolitan Statistical Area",-83.258894,31.682702,27415,1 
"22380","Flagstaff, AZ Metropolitan Statistical Area",-111.573942,35.547513,116320,1 
"22420","Flint, MI Metropolitan Statistical Area",-83.695799,43.014171,436141,1 
"22500","Florence, SC Metropolitan Statistical Area",-79.837745,34.177142,193155,1 
"22520","Florence-Muscle Shoals, AL Metropolitan Statistical Area",-87.638845,34.81146,142950,1 
"22540","Fond du Lac, WI Metropolitan Statistical Area",-88.487565,43.765147,97296,1 
"22580","Forest City, NC Micropolitan Statistical Area",-81.894293,35.348181,62899,1 
"22620","Forrest City, AR Micropolitan Statistical Area",-90.765194,35.015001,29329,1 
"22660","Fort Collins-Loveland, CO Metropolitan Statistical Area",-105.108351,40.505112,251494,1 
"22700","Fort Dodge, IA Micropolitan Statistical Area",-94.179079,42.479317,40235,1 
