"cbsa","cbsaname","pop2k","afact"
"cbsa","CBSA Name","Total Pop, 2000 census","cbsa to cbsa alloc factor"
"25700","Hays, KS Micropolitan Statistical Area",27507,1 
"25720","Heber, UT Micropolitan Statistical Area",15215,1 
"25740","Helena, MT Micropolitan Statistical Area",65765,1 
"25760","Helena-West Helena, AR Micropolitan Statistical Area",26445,1 
"25780","Henderson, NC Micropolitan Statistical Area",42954,1 
"25820","Hereford, TX Micropolitan Statistical Area",18561,1 
"25860","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",341851,1 
"25900","Hilo, HI Micropolitan Statistical Area",148677,1 
"25940","Hilton Head Island-Beaufort, SC Micropolitan Statistical Area",141615,1 
"25980","Hinesville-Fort Stewart, GA Metropolitan Statistical Area",71914,1 
"26020","Hobbs, NM Micropolitan Statistical Area",55511,1 
"26100","Holland-Grand Haven, MI Metropolitan Statistical Area",238314,1 
"26140","Homosassa Springs, FL Micropolitan Statistical Area",118085,1 
"26180","Honolulu, HI Metropolitan Statistical Area",876156,1 
"26220","Hood River, OR Micropolitan Statistical Area",20411,1 
"26260","Hope, AR Micropolitan Statistical Area",33542,1 
"26300","Hot Springs, AR Metropolitan Statistical Area",88068,1 
"26340","Houghton, MI Micropolitan Statistical Area",38317,1 
"26380","Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area",194477,1 
"26420","Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",4715407,1 
"26460","Hudson, NY Micropolitan Statistical Area",63094,1 
"26480","Humboldt, TN Micropolitan Statistical Area",48152,1 
"26500","Huntingdon, PA Micropolitan Statistical Area",45586,1 
"26540","Huntington, IN Micropolitan Statistical Area",38075,1 
"26580","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",288649,1 
"26620","Huntsville, AL Metropolitan Statistical Area",342376,1 
"26660","Huntsville, TX Micropolitan Statistical Area",61758,1 
"26700","Huron, SD Micropolitan Statistical Area",17023,1 
"26740","Hutchinson, KS Micropolitan Statistical Area",64790,1 
"26780","Hutchinson, MN Micropolitan Statistical Area",34898,1 
"26820","Idaho Falls, ID Metropolitan Statistical Area",101677,1 
"26860","Indiana, PA Micropolitan Statistical Area",89605,1 
"26900","Indianapolis-Carmel, IN Metropolitan Statistical Area",1525104,1 
"26940","Indianola, MS Micropolitan Statistical Area",34369,1 
"26980","Iowa City, IA Metropolitan Statistical Area",131676,1 
"27020","Iron Mountain, MI-WI Micropolitan Statistical Area",32560,1 
"27060","Ithaca, NY Metropolitan Statistical Area",96501,1 
"27100","Jackson, MI Metropolitan Statistical Area",158422,1 
"27140","Jackson, MS Metropolitan Statistical Area",497197,1 
"27180","Jackson, TN Metropolitan Statistical Area",107377,1 
"27220","Jackson, WY-ID Micropolitan Statistical Area",24250,1 
"27260","Jacksonville, FL Metropolitan Statistical Area",1122750,1 
"27300","Jacksonville, IL Micropolitan Statistical Area",42153,1 
"27340","Jacksonville, NC Metropolitan Statistical Area",150355,1 
"27380","Jacksonville, TX Micropolitan Statistical Area",46659,1 
"27420","Jamestown, ND Micropolitan Statistical Area",21908,1 
"27460","Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",139750,1 
"27500","Janesville, WI Metropolitan Statistical Area",152307,1 
"27540","Jasper, IN Micropolitan Statistical Area",52511,1 
"27620","Jefferson City, MO Metropolitan Statistical Area",140052,1 
"27660","Jennings, LA Micropolitan Statistical Area",31435,1 
"27700","Jesup, GA Micropolitan Statistical Area",26565,1 
"27740","Johnson City, TN Metropolitan Statistical Area",181607,1 
