"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
"13","077",48034,1561,2709,591346,1646978
"13","079",4176,292,299,92799,156439
"13","081",10304,712,743,308641,406824
"13","083",6449,364,669,204024,399421
"13","085",9867,614,1267,366024,826020
"13","087",12965,507,1379,255348,857573
"13","089",306686,12083,10847,5079602,5060618
"13","091",8699,470,1093,239905,704207
"13","093",3420,372,223,181397,117589
"13","095",43368,2198,3264,859775,2217981
"13","097",55107,2123,5026,562668,2961839
"13","099",5823,535,1237,255312,983296
"13","101",1264,118,75,44877,63145
"13","103",18330,628,1272,218710,656973
"13","105",8986,504,489,255911,278429
"13","107",9373,828,1091,422974,364127
"13","109",3920,225,194,100560,130705
"13","111",10569,1068,964,511219,535261
"13","113",41954,856,1991,367332,1364374
"13","115",41733,2851,2687,1003278,1551337
"13","117",71710,1236,12023,514373,7052592
"13","119",10442,810,996,472922,550304
"13","121",438106,22713,29303,12283575,14490588
"13","123",12913,1001,817,640439,460809
"13","125",1415,197,72,91752,47985
"13","127",41670,2341,4588,1158474,2615448
"13","129",22308,1002,1681,433292,997878
"13","131",11483,571,1241,276490,902775
"13","133",8269,415,726,179458,459843
"13","135",306581,6206,18013,2193869,9259157
"13","137",16708,821,1581,417844,901533
"13","139",71674,2288,7854,1020006,4386008
"13","141",5930,177,2459,92979,1937527
"13","143",12949,994,1196,416774,521697
"13","145",12108,278,1027,80132,616543
"13","147",12581,621,1105,311702,623807
"13","149",4770,332,221,159253,91192
"13","151",84987,2968,12064,765596,7046942
"13","153",63145,2655,6302,1165809,3586726
"13","155",4096,312,370,151021,235117
"13","157",28581,1139,5880,531260,3698149
"13","159",5977,196,657,71143,384664
"13","161",6064,484,505,259418,296129
"13","163",6729,630,998,337334,599252
"13","165",3920,381,342,188330,222596
"13","167",2104,20,1422,8581,113238
"13","169",11511,417,1388,112754,833973
"13","171",7399,435,445,202840,246411
"13","173",3466,309,342,144331,191606
"13","175",22740,1385,2430,603635,1510427
"13","177",10988,218,608,76352,385313
"13","179",25467,2185,1786,588402,1001412
"13","181",3782,158,363,62806,184242
"13","183",2563,41,145,31586,49277
"13","185",48061,2129,6084,871947,3150550
"13","187",12015,840,497,449638,220437
"13","189",9512,798,377,331164,248185
"13","191",3305,197,1542,94653,209145
"13","193",4658,493,397,247196,297469
"13","195",11266,548,922,210790,452626
"13","197",3705,268,893,82806,704422
"13","199",8893,521,949,276441,514194
"13","201",3113,183,428,34130,302963
"13","205",9718,584,1058,247143,775829
"13","207",10133,611,638,288061,354853
"13","209",2728,254,290,132451,138107
"13","211",7579,211,851,100785,446149
"13","213",15781,1184,886,558080,485297
"13","215",85399,5115,3587,2171233,2224392
"13","217",42219,1574,4841,706000,2517743
"13","219",14212,230,2374,65325,1514969
"13","221",5553,226,570,99688,245011
"13","223",56949,1753,7603,516495,4086147
"13","225",11294,477,1196,180745,636103
"13","227",15982,475,1734,165754,1190340
"13","229",8201,605,493,289026,349929
"13","231",6244,287,569,118680,186486
"13","233",17188,578,1060,298066,584941
"13","235",3813,253,447,146847,224893
"13","237",11540,847,929,409294,604572
"13","239",1525,131,183,50869,134925
"13","241",7947,632,552,329516,280381
"13","243",2148,30,554,10610,100795
"13","245",92540,6788,4946,2960219,3320547
"13","247",34733,1306,2686,395779,1507635
"13","249",1384,48,268,14117,203701
"13","251",6204,615,291,265926,206760
"13","253",4360,131,897,63736,590586
"13","255",27872,1691,1599,681439,915218
"13","257",17409,1013,10667,520614,1707097
"13","259",1374,127,114,86128,81379
"13","261",13805,781,1517,314321,957801
"13","263",1623,107,147,32774,94408
"13","265",930,23,251,11057,158032
"13","267",7463,751,560,359276,324262
"13","269",1979,203,564,82152,476194
"13","271",3378,406,141,211280,82854
"13","273",4257,400,241,203297,169567
"13","275",20219,1179,1968,536109,1457441
"13","277",16899,446,1525,211582,908439
"13","279",12245,1041,571,533178,333861
"13","281",6456,904,849,432046,382116
"13","283",4180,162,1932,21741,310300
"13","285",28336,1506,1559,716288,992832
"13","287",4070,398,511,234232,368844
"13","289",4297,203,596,61891,281613
"13","291",11362,1751,410,797709,186208
"13","293",12702,534,555,290911,378035
"13","295",29787,1848,1944,798372,1116868
"13","297",35726,1279,5227,500876,2999600
"13","299",17348,1451,1337,858677,837123
"13","301",3513,229,1233,106460,975588
"13","303",8770,714,605,218637,385084
"13","305",14041,1506,769,621812,336922
"13","307",657,102,49,60577,27198
"13","309",942,152,35,83288,27569
"13","311",11458,935,1298,470381,729498
"13","313",39541,2266,2282,854477,1196972
"13","315",2744,330,168,202322,97541
"13","317",4865,370,564,188337,362206
"13","319",3793,288,524,143442,257773
"13","321",9570,572,1351,256795,1017263
"15","001",47326,2483,4277,1424866,2544079
"15","003",334847,8055,17654,2923656,11180489
"15","005",0,0,0,0,0
"15","007",14643,127,1709,78836,1103523
"15","009",51779,321,6866,190497,4682861
"16","001",160191,2977,9570,996287,4340997
"16","003",832,4,112,2764,32954
"16","005",31644,1164,1143,529167,692246
"16","007",2059,162,141,86934,85913
"16","009",3210,57,329,24314,211652
"16","011",13818,240,677,58929,293057
"16","013",2045,1,231,90,96326
"16","015",3058,0,567,0,340405
"16","017",14244,107,1797,33598,891266
"16","019",38335,1029,2155,292307,1134286
"16","021",3259,0,2194,0,388080
"16","023",883,0,148,0,75762
"16","025",122,0,5,0,3369
"16","027",67569,1059,3902,348636,1622054
"16","029",2507,111,381,52207,248018
"16","031",7239,228,395,87705,221749
"16","033",108,0,31,0,17162
"16","035",2288,3,232,827,129324
"16","037",810,0,218,0,125661
"16","039",12521,586,2694,196968,1950283
"16","041",3990,56,285,18009,163840
"16","043",3536,93,296,38929,194884
"16","045",6773,178,349,72100,161784
"16","047",4889,51,354,24087,167669
"16","049",6842,154,2465,60481,1404792
"16","051",7666,40,794,14152,361167
"16","053",7575,88,473,32821,276293
"16","055",55977,417,3857,153247,1878457
"16","057",14394,284,765,93884,488573
"16","059",3308,167,266,82253,157814
"16","061",1759,3,1007,1648,356429
"16","063",1302,0,141,0,60788
"16","065",11179,61,1093,18848,733061
"16","067",7136,132,467,68160,230940
"16","069",16464,461,577,195835,447809
"16","071",1812,82,218,43607,131987
