"msa_code","city","state","label"
"21380","Emporia","KS","EmporiKS"
"21420","Enid","OK","EnidOK"
"21460","Enterprise","AL","EntrprAL"
"21500","Erie","PA","EriePA"
"21540","Escanaba","MI","EscanbMI"
"21580","Espanola","NM","EspanlNM"
"21640","Eufaula","AL","EufaulAL"
"21660","Eugene","OR","EugeneOR"
"21700","Eureka","CA","EurekaCA"
"21740","Evanston","WY","EvnstnWY"
"21780","Evansville","IN","EvnsvlIN"
"21820","Fairbanks","AK","FrbnksAK"
"21860","Fairmont","MN","FarmntMN"
"21900","Fairmont","WV","FarmntWV"
"21940","Fajardo","PR","FajardPR"
"21980","Fallon","NV","FallonNV"
"22020","Fargo","ND","FargoND"
"22060","Faribault","MN","FarbltMN"
"22100","Farmington","MO","FrmngtMO"
"22140","Farmington","NM","FrmngtNM"
"22180","Fayetteville","NC","FyttvlNC"
"22220","Fayetteville","AR","FyttvlAR"
"22260","Fergus Falls","MN","FrgsFlMN"
"22280","Fernley","NV","FernlyNV"
"22300","Findlay","OH","FindlyOH"
"22340","Fitzgerald","GA","FtzgrlGA"
"22380","Flagstaff","AZ","FlgstfAZ"
"22420","Flint","MI","FlintMI"
"22500","Florence","SC","FlorncSC"
"22520","Florence","AL","FlorncAL"
"22540","Fond du Lac","WI","FnddLcWI"
"22580","Forest City","NC","FrstCtNC"
"22620","Forrest City","AR","FrrstCAR"
"22660","Fort Collins","CO","FrtCllCO"
"22700","Fort Dodge","IA","FrtDdgIA"
"22780","Fort Leonard Wood","MO","FrtLnWMO"
"22800","Fort Madison","IA","FrtMdsIA"
"22820","Fort Morgan","CO","FrtMrgCO"
"22840","Fort Payne","AL","FrtPynAL"
"22860","Fort Polk South","LA","FrtPlSLA"
"22900","Fort Smith","AR","FrtSmtAR"
"22980","Fort Valley","GA","FrtVllGA"
"23020","Fort Walton Beach","FL","FrtWlBFL"
"23060","Fort Wayne","IN","FrtWynIN"
"23140","Frankfort","IN","FrnkfrIN"
"23180","Frankfort","KY","FrnkfrKY"
"23240","Fredericksburg","TX","FrdrckTX"
"23300","Freeport","IL","FreprtIL"
"23340","Fremont","NE","FremntNE"
"23380","Fremont","OH","FremntOH"
"23420","Fresno","CA","FresnoCA"
"23460","Gadsden","AL","GadsdnAL"
"23500","Gaffney","SC","GaffnySC"
"23540","Gainesville","FL","GnsvllFL"
"23580","Gainesville","GA","GnsvllGA"
"23620","Gainesville","TX","GnsvllTX"
"23660","Galesburg","IL","GlsbrgIL"
"23700","Gallup","NM","GallupNM"
"23780","Garden City","KS","GrdnCtKS"
"23820","Gardnerville Ranchos","NV","GrdnrRNV"
"23860","Georgetown","SC","GrgtwnSC"
"23900","Gettysburg","PA","GttysbPA"
"23940","Gillette","WY","GillttWY"
"23980","Glasgow","KY","GlasgwKY"
"24020","Glens Falls","NY","GlnsFlNY"
"24100","Gloversville","NY","GlvrsvNY"
"24140","Goldsboro","NC","GldsbrNC"
"24180","Granbury","TX","GrnbryTX"
"24220","Grand Forks","ND","GrndFrND"
"24260","Grand Island","NE","GrndIsNE"
"24300","Grand Junction","CO","GrndJnCO"
"24340","Grand Rapids","MI","GrndRpMI"
"24380","Grants","NM","GrantsNM"
"24420","Grants Pass","OR","GrntsPOR"
"24460","Great Bend","KS","GrtBndKS"
"24500","Great Falls","MT","GrtFllMT"
"24540","Greeley","CO","GreelyCO"
"24580","Green Bay","WI","GrenByWI"
"24620","Greeneville","TN","GreenevllTN"
"24660","Greensboro","NC","GrensbrNC"
"24700","Greensburg","IN","GrnsbrgIN"
"24740","Greenville","MS","GreenvillMS"
"24780","Greenville","NC","GreenvillNC"
"24820","Greenville","OH","GreenvillOH"
"24860","Greenville","SC","GreenvillSC"
"24900","Greenwood","MS","GrenwdMS"
"24940","Greenwood","SC","GrenwdSC"
"24980","Grenada","MS","GrenadMS"
"25020","Guayama","PR","GuayamPR"
"25060","Gulfport","MS","GlfprtMS"
"25100","Guymon","OK","GuymonOK"
"25180","Hagerstown","MD","HgrstwMD"
"25220","Hammond","LA","HammndLA"
"25260","Hanford","CA","HanfrdCA"
"25300","Hannibal","MO","HannblMO"
"25340","Harriman","TN","HarrmnTN"
"25380","Harrisburg","IL","HrrsbrIL"
"25420","Harrisburg","PA","HrrsbrPA"
"25460","Harrison","AR","HarrsnAR"
"25500","Harrisonburg","VA","HrrsnbVA"
"25540","Hartford","CT","HrtfrdCT"
"25580","Hastings","NE","HstngsNE"
"25620","Hattiesburg","MS","HttsbrMS"
"25660","Havre","MT","HavreMT"
"25700","Hays","KS","HaysKS"
"25720","Heber","UT","HeberUT"
"25740","Helena","MT","HelenaMT"
"25760","Helena","AR","HelenaAR"
"25780","Henderson","NC","HndrsnNC"
"25820","Hereford","TX","HerfrdTX"
"25860","Hickory","NC","HickryNC"
"25900","Hilo","HI","HiloHI"
"25940","Hilton Head Island","SC","HltnHISC"
"25980","Hinesville","GA","HnsvllGA"
"26020","Hobbs","NM","HobbsNM"
"26100","Holland","MI","HollndMI"
"26140","Homosassa Springs","FL","HmsssSFL"
"26180","Honolulu","HI","HonollHI"
"26220","Hood River","OR","HodRvrOR"
"26260","Hope","AR","HopeAR"
"26300","Hot Springs","AR","HtSprnAR"
"26340","Houghton","MI","HoghtnMI"
"26380","Houma","LA","HoumaLA"
"26420","Houston","TX","HoustnTX"
"26460","Hudson","NY","HudsonNY"
"26480","Humboldt","TN","HmbldtTN"
"26500","Huntingdon","PA","HntngdPA"
"26540","Huntington","IN","HntngtIN"
"26580","Huntington","WV","HntngtWV"
"26620","Huntsville","AL","HntsvlAL"
"26660","Huntsville","TX","HntsvlTX"
"26700","Huron","SD","HuronSD"
