"city","state","msa_fips","fips","year","total","tourism","growth","percent_tourism","percent_growth","fips_st","fips_place","latitude","longitude"
"Cleveland","TN","17460",17460,2002,85728,5245,15040,6.12,17.54,47,15400,35.177558,-84.867544
"Cleveland","TN","17460",17460,2004,95477,5580,16829,5.84,17.63,47,15400,35.177558,-84.867544
"Cleveland","TN","17460",17460,2005,98554,5815,17034,5.9,17.28,47,15400,35.177558,-84.867544
"Cleveland","TN","17460",17460,2006,101605,6013,17066,5.92,16.8,47,15400,35.177558,-84.867544
"Cleveland","TN","17460",17460,2003,89715,5376,15370,5.99,17.13,47,15400,35.177558,-84.867544
"Coeur d'Alene","ID","17780",17780,2003,4584,186,546,4.06,11.91,16,16750,47.697788,-116.784816
"Coeur d'Alene","ID","17780",17780,2004,4818,169,589,3.51,12.22,16,16750,47.697788,-116.784816
"Coeur d'Alene","ID","17780",17780,2006,5669,464,649,8.18,11.45,16,16750,47.697788,-116.784816
"Coeur d'Alene","ID","17780",17780,2001,4213,320,647,7.6,15.36,16,16750,47.697788,-116.784816
"Coeur d'Alene","ID","17780",17780,2002,4247,349,512,8.22,12.06,16,16750,47.697788,-116.784816
"Coeur d'Alene","ID","17780",17780,2005,5192,447,599,8.61,11.54,16,16750,47.697788,-116.784816
"College Station","TX","17820",17820,2005,21269,1797,3181,8.45,14.96,48,15976,30.6005,-96.312351
"College Station","TX","17820",17820,2001,17554,1552,2581,8.84,14.7,48,15976,30.6005,-96.312351
"College Station","TX","17820",17820,2004,19632,1731,3008,8.82,15.32,48,15976,30.6005,-96.312351
"College Station","TX","17820",17820,2006,22296,1895,3355,8.5,15.05,48,15976,30.6005,-96.312351
"College Station","TX","17820",17820,2002,17558,1585,2187,9.03,12.46,48,15976,30.6005,-96.312351
"College Station","TX","17820",17820,2003,18649,1623,2823,8.7,15.14,48,15976,30.6005,-96.312351
"Colorado Springs","CO","17860",17860,2006,5448,204,688,3.74,12.63,8,16000,38.8632,-104.759899
"Colorado Springs","CO","17860",17860,2005,5191,0,277,0,5.34,8,16000,38.8632,-104.759899
"Colorado Springs","CO","17860",17860,2003,4722,157,642,3.32,13.6,8,16000,38.8632,-104.759899
"Colorado Springs","CO","17860",17860,2004,4968,170,251,3.42,5.05,8,16000,38.8632,-104.759899
"Colorado Springs","CO","17860",17860,2002,4513,154,211,3.41,4.68,8,16000,38.8632,-104.759899
"Colorado Springs","CO","17860",17860,2001,4533,285,192,6.29,4.24,8,16000,38.8632,-104.759899
"Columbia","MO","17900",17900,2002,22311,617,3074,2.77,13.78,29,15670,38.9541,-92.326696
"Columbia","MO","17900",17900,2004,25028,682,1284,2.72,5.13,29,15670,38.9541,-92.326696
"Columbia","MO","17900",17900,2001,21812,594,3270,2.72,14.99,29,15670,38.9541,-92.326696
"Columbia","MO","17900",17900,2006,28401,759,4146,2.67,14.6,29,15670,38.9541,-92.326696
"Columbia","MO","17900",17900,2005,26448,0,3810,0,14.41,29,15670,38.9541,-92.326696
"Columbia","MO","17900",17900,2003,23471,641,1194,2.73,5.09,29,15670,38.9541,-92.326696
"Columbia","SC","17980",17980,2005,9582,336,0,3.51,0,45,16000,34.039236,-80.886341
"Columbia","SC","17980",17980,2002,8184,250,0,3.05,0,45,16000,34.039236,-80.886341
"Columbia","SC","17980",17980,2003,8471,286,295,3.38,3.48,45,16000,34.039236,-80.886341
"Columbia","SC","17980",17980,2004,8842,309,329,3.49,3.72,45,16000,34.039236,-80.886341
