"fips_st","state","owner_occ","total","per_owner","year"
32,"NV",2588,3810,67.9265091863517,2001
32,"NV",2354,3434,68.5497961560862,2002
32,"NV",2661,3874,68.6886938564791,2003
32,"NV",2805,4013,69.897832045851,2004
32,"NV",6480,9501,68.2033470161036,2005
32,"NV",6681,9840,67.8963414634146,2006
32,"NV",6785,10074,67.351598173516,2007
36,"NY",5296,8854,59.814772983962,2000
36,"NY",15690,26297,59.6646005247747,2001
36,"NY",14229,23231,61.2500538074125,2002
36,"NY",16210,26174,61.9316879345916,2003
36,"NY",16639,26237,63.4180737126958,2004
36,"NY",46945,72750,64.5292096219931,2005
36,"NY",46330,72476,63.924609525912,2006
36,"NY",46530,72608,64.0838475099163,2007
39,"OH",4473,6085,73.5086277732128,2000
39,"OH",14022,19028,73.6914021442085,2001
39,"OH",12655,16881,74.9659380368462,2002
39,"OH",14303,19015,75.219563502498,2003
39,"OH",14259,18899,75.4484364252077,2004
39,"OH",35882,47527,75.4981379005618,2005
39,"OH",35822,47490,75.4306169719941,2006
39,"OH",35792,47565,75.248607169137,2007
40,"OK",1243,1689,73.5938425103612,2000
40,"OK",3744,5127,73.0251609128145,2001
40,"OK",3440,4672,73.6301369863014,2002
40,"OK",3830,5240,73.0916030534351,2003
40,"OK",3731,5101,73.1425210742992,2004
40,"OK",10984,14466,75.9297663486797,2005
40,"OK",10931,14461,75.5895166309384,2006
40,"OK",11073,14652,75.5733005733006,2007
41,"OR",1260,1862,67.6691729323308,2000
41,"OR",3755,5535,67.8410117434508,2001
41,"OR",3441,4968,69.2632850241546,2002
41,"OR",3745,5396,69.403261675315,2003
41,"OR",3994,5746,69.5092238078663,2004
41,"OR",10439,14788,70.5910197457398,2005
41,"OR",10651,15001,71.001933204453,2006
41,"OR",10816,15209,71.1157867052403,2007
42,"PA",4865,6506,74.7771288041808,2000
42,"PA",15218,20050,75.9002493765586,2001
42,"PA",14041,18401,76.3056355632846,2002
42,"PA",15060,19746,76.268611364327,2003
42,"PA",15429,20002,77.1372862713729,2004
42,"PA",38903,50039,77.7453586202762,2005
42,"PA",38594,49710,77.6383021524844,2006
42,"PA",38916,49965,77.8865205643951,2007
44,"RI",851,1257,67.7008750994431,2000
44,"RI",2950,4442,66.4115263394867,2001
44,"RI",2727,4014,67.9372197309417,2002
44,"RI",3081,4425,69.6271186440678,2003
44,"RI",3026,4359,69.4195916494609,2004
44,"RI",2918,4205,69.3935790725327,2005
44,"RI",2913,4207,69.2417399572142,2006
44,"RI",2896,4190,69.1169451073986,2007
45,"SC",1443,1913,75.4312598013591,2000
45,"SC",4517,5914,76.3780858978695,2001
45,"SC",4229,5498,76.9188795925791,2002
45,"SC",4688,6079,77.1179470307616,2003
45,"SC",4707,6125,76.8489795918367,2004
45,"SC",13404,17508,76.559287183002,2005
45,"SC",13424,17683,75.9147203528813,2006
45,"SC",13825,18153,76.158210764061,2007
46,"SD",1153,1593,72.3791588198368,2000
46,"SD",4358,6126,71.1394058112961,2001
46,"SD",4054,5558,72.9399064411659,2002
