"year","quarter","statefips","countyfips","type","total","vac","nostat","vac_days","nostat_days"
2006,1,"12","119","1",39674,1672,4946,188066,586457
2006,1,"12","121","1",24050,883,3066,65977,389587
2006,1,"12","123","1",9123,521,908,63717,121375
2006,1,"12","125","1",7096,160,2921,19955,383331
2006,1,"12","127","1",271628,7447,18272,750431,2186430
2006,1,"12","129","1",10892,151,1217,15106,135100
2006,1,"12","131","1",39677,608,5142,55023,618337
2006,1,"12","133","1",10936,215,1517,25546,196472
2006,1,"13","001","1",8805,473,883,51635,116836
2006,1,"13","003","1",1669,0,61,0,4137
2006,1,"13","005","1",5169,299,499,36805,65508
2006,1,"13","007","1",838,0,108,0,13659
2006,1,"13","009","1",22953,1219,2151,139348,281600
2006,1,"13","011","1",6733,294,584,31380,68229
2006,1,"13","013","1",28159,872,3763,91170,469057
2006,1,"13","015","1",42019,1753,3247,185070,397809
2006,1,"13","017","1",9646,488,909,64343,117000
2006,1,"13","019","1",7375,298,749,31234,95629
2006,1,"13","021","1",83026,6358,5002,827304,636423
2006,1,"13","023","1",4870,3,40,417,4777
2006,1,"13","025","1",4301,142,295,12651,36408
2006,1,"13","027","1",6821,272,781,32228,101385
2006,1,"13","029","1",10514,0,778,0,90089
2006,1,"13","031","1",28183,775,2124,75092,260002
2006,1,"13","033","1",10205,348,1159,43038,145129
2006,1,"13","035","1",8909,407,493,45580,53562
2006,1,"13","037","1",1870,16,551,2095,66024
2006,1,"13","039","1",20893,374,1778,46510,206562
2006,1,"13","043","1",3971,148,335,15983,43563
2006,1,"13","045","1",49052,1807,4152,190092,524273
2006,1,"13","047","1",27312,704,1736,82132,207438
2006,1,"13","049","1",4482,231,394,26039,53435
2006,1,"13","051","1",129083,5094,8321,608972,1015918
2006,1,"13","053","1",5127,541,1121,56345,154238
2006,1,"13","055","1",11114,483,734,63613,92651
2006,1,"13","057","1",87544,1841,8665,192849,1106307
2006,1,"13","059","1",57359,2450,3119,210517,343205
2006,1,"13","061","1",1269,12,629,1193,82338
2006,1,"13","063","1",116571,5340,6951,552859,882818
2006,1,"13","065","1",3290,178,808,21513,108402
2006,1,"13","067","1",312400,12828,13166,1361647,1625107
2006,1,"13","069","1",19154,849,2607,100071,319726
2006,1,"13","071","1",21075,616,2424,72569,303237
2006,1,"13","073","1",47496,512,3713,49352,444286
2006,1,"13","075","1",6646,317,903,32455,116546
2006,1,"13","077","1",48023,1686,3124,170541,364941
2006,1,"13","079","1",3864,16,394,1564,49822
2006,1,"13","081","1",13610,785,1016,98282,126559
2006,1,"13","083","1",6244,326,552,37376,71235
2006,1,"13","085","1",9942,596,1174,73956,156871
2006,1,"13","087","1",13857,376,1388,41748,180225
2006,1,"13","089","1",332219,14152,9201,1677900,1135918
2006,1,"13","091","1",8955,372,908,37633,119006
2006,1,"13","093","1",3729,153,396,15837,49640
2006,1,"13","095","1",51774,2499,4050,293497,531353
2006,1,"13","097","1",55334,1474,5273,141759,659291
2006,1,"13","099","1",6419,144,1780,18466,222303
2006,1,"13","101","1",1394,4,233,4,30377
2006,1,"13","103","1",17375,163,1560,11144,191046
2006,1,"13","105","1",9665,437,426,54426,55878
2006,1,"13","107","1",9601,416,643,38999,86998
2006,1,"13","109","1",4113,183,240,20231,30998
2006,1,"13","111","1",10299,822,768,99936,93726
2006,1,"13","113","1",45947,924,2960,93371,370164
2006,1,"13","115","1",45078,2565,2949,281731,376411
2006,1,"13","117","1",67604,1168,9484,119006,1174409
2006,1,"13","119","1",10735,835,754,98224,100545
2006,1,"13","121","1",477450,29098,27020,3514865,3082198
2006,1,"13","123","1",12810,1038,699,119286,91464
2006,1,"13","125","1",1429,33,228,4400,27556
2006,1,"13","127","1",44685,2719,4228,301758,507772
2006,1,"13","129","1",23128,708,1697,84697,215175
2006,1,"13","131","1",12114,442,1425,48482,185783
2006,1,"13","133","1",8342,243,852,28036,103896
2006,1,"13","135","1",321770,8023,18170,873824,2236599
2006,1,"13","137","1",16449,721,1335,79668,160878
2006,1,"13","139","1",72820,2131,6325,250160,808767
2006,1,"13","141","1",6108,143,2593,15806,339305
2006,1,"13","143","1",12913,553,867,57594,103447
2006,1,"13","145","1",11437,101,1030,1917,122817
2006,1,"13","147","1",12844,475,832,59344,106334
2006,1,"13","149","1",4397,222,114,17545,12776
2006,1,"13","151","1",82508,1829,11636,166935,1518955
2006,1,"13","153","1",63698,2130,5518,263024,717207
2006,1,"13","155","1",4134,110,487,14712,61319
2006,1,"13","157","1",26671,918,5226,103941,666868
2006,1,"13","159","1",5939,116,613,12788,73782
2006,1,"13","161","1",6527,357,712,37792,95454
2006,1,"13","163","1",6890,371,845,41387,110808
2006,1,"13","165","1",3976,153,458,17515,58903
2006,1,"13","167","1",2834,113,279,13918,35866
2006,1,"13","169","1",11054,32,1362,1128,160170
2006,1,"13","171","1",7396,415,365,47928,48498
2006,1,"13","173","1",3355,185,329,23856,43190
2006,1,"13","175","1",23782,1087,2168,124944,277680
2006,1,"13","177","1",10865,8,760,1112,97091
2006,1,"13","179","1",30208,1304,4331,121875,582946
2006,1,"13","181","1",3717,38,307,2407,39786
2006,1,"13","183","1",2264,51,67,3992,9049
2006,1,"13","185","1",49638,1439,3964,164805,516079
2006,1,"13","187","1",11918,691,385,80133,37776
2006,1,"13","189","1",10179,262,980,28756,116159
2006,1,"13","191","1",3145,70,314,2154,31783
2006,1,"13","193","1",5541,266,963,24906,127501
2006,1,"13","195","1",10863,359,654,30766,67483
2006,1,"13","197","1",3888,21,1142,1539,152886
2006,1,"13","199","1",8624,344,841,34512,90090
2006,1,"13","201","1",3355,75,537,8329,66471
2006,1,"13","205","1",10505,317,1342,37986,175186
2006,1,"13","207","1",10151,280,844,21818,101699
2006,1,"13","209","1",2541,173,197,12336,26723
2006,1,"13","211","1",7807,180,839,20278,108485
2006,1,"13","213","1",16155,556,1322,69484,163955
2006,1,"13","215","1",97067,5917,4373,715814,566234
2006,1,"13","217","1",39556,1307,3475,156850,451573
2006,1,"13","219","1",13577,132,1849,13000,212017
2006,1,"13","221","1",4940,137,325,11164,43467
2006,1,"13","223","1",51996,892,6025,69287,755622
2006,1,"13","225","1",11602,360,1056,43887,133145
2006,1,"13","227","1",16472,540,1884,42424,240323
2006,1,"13","229","1",8342,282,742,32513,97616
2006,1,"13","231","1",5516,103,308,10935,31783
2006,1,"13","233","1",17877,461,779,50728,95979
2006,1,"13","235","1",4194,306,318,39734,40272
2006,1,"13","237","1",11800,250,1303,25357,173994
2006,1,"13","239","1",2070,1,878,139,118859
2006,1,"13","241","1",7911,397,481,45643,60469
2006,1,"13","243","1",3250,199,481,26302,62950
2006,1,"13","245","1",104197,5453,8914,640084,1149454
2006,1,"13","247","1",35785,1139,2248,125154,275652
2006,1,"13","249","1",1308,17,241,2246,30685
2006,1,"13","251","1",6447,341,373,33385,50906
2006,1,"13","253","1",4575,129,879,14514,112075
2006,1,"13","255","1",29447,1694,1585,184207,185446
2006,1,"13","257","1",13606,1260,582,156099,76075
2006,1,"13","259","1",1442,116,116,15880,15555
2006,1,"13","261","1",15630,550,1816,60428,222522
2006,1,"13","263","1",1418,31,136,613,16161
2006,1,"13","265","1",864,18,198,2057,25734
2006,1,"13","267","1",8834,371,2107,37064,286935
2006,1,"13","269","1",1948,37,810,5143,108481
2006,1,"13","271","1",3691,287,182,31478,22882
2006,1,"13","273","1",4605,266,355,34967,43589
2006,1,"13","275","1",21825,585,2835,71934,362677
2006,1,"13","277","1",18408,371,1524,46772,193072
2006,1,"13","279","1",13411,773,861,85109,114905
