"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
13,79,4739,353,394,174573,287771
13,81,10490,665,936,446054,665599
13,83,6624,419,659,275420,564081
13,85,10026,629,1211,521470,1213190
13,87,13208,561,1431,386697,1237328
13,89,311069,11683,13448,6403508,8889189
13,91,8964,396,1754,298391,996326
13,93,3556,399,312,291256,199321
13,95,43453,1986,3192,1184561,3115564
13,97,55823,2165,5266,783243,4464200
13,99,5976,546,1383,364824,1424808
13,101,1204,123,29,69372,12318
13,103,19256,742,1755,342332,1074331
13,105,9120,606,544,367713,417934
13,107,9440,927,842,644040,599112
13,109,4109,221,277,142709,207450
13,111,10916,1220,987,802922,797705
13,113,42251,1027,2104,533600,1923991
13,115,42222,2941,3146,1355410,2442024
13,117,74276,1587,12351,761776,10689382
13,119,10502,902,941,673475,800727
13,121,447568,21511,33085,15113600,23767589
13,123,13410,1030,920,942074,764317
13,125,1461,228,100,143547,64159
13,127,42457,2347,4873,1570658,4059528
13,129,22692,1209,1651,660251,1474998
13,131,11886,597,1568,387677,1342997
13,133,8536,558,757,289661,677840
13,135,310858,7297,19262,2843956,14614383
13,137,17278,918,1603,599053,1292272
13,139,72697,2637,8135,1450526,6862986
13,141,6141,202,2567,151917,2822972
13,143,13132,987,1282,625726,931616
13,145,12441,305,1255,142743,933205
13,147,13012,645,1620,445330,1042069
13,149,4851,307,493,211067,217501
13,151,86648,3455,12188,1092472,10455960
13,153,64259,2667,6563,1360702,5317542
13,155,4245,328,417,240724,362183
13,157,29983,1250,6381,777679,5785174
13,159,6139,197,742,88209,550064
13,161,6236,555,571,361564,419636
13,163,6966,806,1012,536107,837147
13,165,3941,492,365,263550,260453
13,167,5040,190,2152,58551,884643
13,169,11786,400,1502,203938,1249557
13,171,7733,438,435,281953,375543
13,173,3430,262,404,195786,261149
13,175,23279,1499,2654,871452,2208205
13,177,11567,270,815,149366,531477
13,179,25941,1605,1979,700076,1280185
13,181,3917,147,433,111758,298037
13,183,1904,4,1635,2045,285525
13,185,49389,2291,6307,1301773,5200106
13,187,12450,994,677,661151,432497
13,189,9762,941,394,551327,302666
13,191,5396,125,2178,48770,695412
13,193,4137,471,444,351412,394893
13,195,11547,680,965,345070,751833
13,197,3750,338,932,163671,977984
13,199,9216,584,1047,405446,806371
13,201,3134,163,475,71119,438542
13,205,9915,647,1191,373296,1133153
13,207,10532,639,810,442133,569641
13,209,3078,296,391,192997,254173
13,211,7738,230,880,145380,714847
13,213,16192,1114,1126,700631,744416
13,215,86683,4357,4025,2817790,3407143
13,217,43009,2021,5670,692548,4077528
13,219,14890,347,2866,125852,2349840
13,221,5752,276,619,150211,447759
13,223,58485,1854,8047,818650,6488499
13,225,11406,532,1317,262168,947430
13,227,16249,620,1751,275190,1720709
13,229,8433,498,886,265713,488159
13,231,6540,297,681,179085,399662
13,233,17494,596,1090,406610,863478
13,235,2932,55,937,22217,190231
