"fips","total","vac","nostat","vac_days","nostat_days"
4003,51683,1645,5104,861443,3555285
4005,43354,803,5395,285039,3812130
4007,22948,1456,4623,714267,3212570
4009,9227,309,1242,133677,717283
4011,2042,0,642,0,403968
4012,5105,144,1514,33108,1112991
4013,1645595,67182,115557,18832583,69526719
4015,95701,5299,10143,1864023,6018315
4017,22863,324,5424,182063,3158198
4019,429025,21998,27420,7633615,18578906
4021,145340,1913,35417,672894,18936111
4023,14692,328,1138,195052,486641
4025,89868,905,9856,440688,6115843
4027,66033,1445,7607,457506,4986840
5001,8742,384,819,276992,571316
5003,9676,331,951,226518,637694
5005,21702,277,2077,132745,1319716
5007,87551,517,10098,220619,5633272
5009,16432,250,1444,135785,1014757
5011,4997,175,468,109598,298274
5013,1306,13,234,3887,35795
5015,12277,94,1261,73737,846003
5017,5916,342,772,210609,428560
5019,10696,253,948,165951,570455
5021,7603,413,658,216090,362638
5023,13464,40,1852,26616,1180325
5025,3121,0,334,0,229280
5027,11126,273,1173,208194,723249
5029,9636,178,1024,103234,568291
5031,37853,848,2397,403366,1236444
5033,22884,308,2126,158984,1114255
5035,21385,699,1207,406761,760648
5037,7548,207,610,101659,325184
5039,3249,141,438,82090,268701
5041,5905,380,693,228169,447315
5043,8564,174,981,111095,554446
5045,44694,266,2963,131395,1557796
5047,7506,49,1145,29626,814751
5049,5372,3,1551,321,1253463
5051,50858,2127,3768,1535039,2249117
5053,7199,21,879,4361,538663
5055,18118,255,1320,174966,829869
5057,10034,114,1095,63876,829690
5059,14496,345,1317,234802,892729
5061,5460,78,520,46759,336583
5063,15526,123,1503,71736,789122
5065,4170,0,843,0,519419
5067,6585,295,858,147745,511138
5069,34306,2222,1916,1390684,1161132
5071,10915,126,2400,63649,1987996
5073,3419,152,549,103889,357921
5075,7306,233,745,126190,501025
5077,4054,199,340,152732,218030
5079,6256,145,2708,24963,2320632
5081,5298,84,539,53676,367174
5083,9798,134,1255,90395,854891
5085,26698,302,2358,199042,1233171
5087,6447,0,1820,0,1398601
5089,6904,52,1599,8271,1105944
5091,21752,552,4114,200069,1973127
5093,19355,1416,1740,957271,1078260
5095,3916,139,511,118015,327777
5097,3301,1,661,28,454243
5099,4583,97,1046,88374,884953
5101,3139,0,464,0,342179
5103,12768,725,952,498946,615330
5105,3881,4,595,63,390865
5107,9017,777,625,552463,424108
5109,3731,2,636,140,404315
5111,10145,193,1043,117619,730738
5113,9358,137,1401,69602,852311
5115,25523,329,2495,160615,1568076
5117,3760,0,1897,0,1713498
5119,181658,6469,7565,3988535,4414847
5121,7806,98,755,65081,501009
5123,9867,358,1040,234262,715016
5125,44227,401,3143,241065,1608040
5127,5127,0,2185,0,1770428
5129,5434,9,2936,1053,2516503
5131,52469,1646,2538,1009282,1455442
5133,5962,81,672,59961,426779
5135,8726,0,1557,0,1010710
5137,4973,0,1396,0,1155729
5139,19192,1098,1434,685950,841522
5141,7224,0,1440,0,984020
5143,88218,629,9708,313182,5711424
5145,30038,386,2914,197387,1667871
5147,2674,86,400,65857,293267
5149,11248,66,4504,28414,4016859
6001,571615,6164,6031,3322499,2852175
6003,393,0,109,0,42609
6005,13206,347,1303,129224,942329
6007,91456,2924,2697,1236497,1725840
6009,12560,171,2378,60366,1711937
6011,4804,169,448,67107,253033
6013,396678,5863,6882,2325481,3745467
6015,10116,419,708,232427,457061
6017,65858,719,5516,248717,3409661
6019,305865,3957,11329,1509347,6168465
6021,9704,307,564,77568,326337
6023,52633,1938,3793,824157,2952604
6025,47282,438,3371,138371,2095574
6027,6913,118,511,52126,355463
6029,270421,6149,12629,1765243,7249146
6031,42746,709,1986,267242,1143043
6033,22076,1696,2540,849227,1692074
6035,8710,330,952,158325,721457
6037,3377571,38554,39079,14534115,21521100
6039,46760,1490,1956,649671,1231749
6041,102551,1781,2066,698968,1447904
6043,6605,173,543,69612,352011
6045,31857,727,3254,376046,2675423
6047,84165,2276,6383,641470,3921074
6049,2945,50,441,32489,380884
6051,1573,109,421,16616,160569
6053,133069,2259,7294,669301,5685835
6055,52973,509,1375,232240,895947
6057,42265,595,4042,167385,2967003
6059,1042680,11538,12150,3289520,6521040
6061,132120,1411,7122,356470,4889200
6063,6746,122,1788,31390,1333227
6065,774520,22418,44287,8597831,25564225
6067,552934,13158,11537,4185556,6885226
6069,16256,359,277,113884,170059
6071,630765,14742,17138,4803804,8958688
6073,1149906,12557,36278,3389954,24005677
6075,357262,7874,6350,3753468,4006121
6077,229989,5274,7930,1542071,4123876
6079,113644,813,7964,389412,5730646
6081,265297,2620,4429,984394,1889283
6083,152407,1588,5881,769023,4075184
6085,626447,5742,9408,1755312,5375833
6087,98459,1620,3004,754250,1833519
6089,71351,2273,2130,953856,1647261
6091,159,0,21,0,14689
6093,17133,1031,945,471979,680094
6095,152678,1898,2304,891959,1480350
6097,191052,4009,5614,1541680,3160954
6099,176225,4115,4824,1218390,2975046
6101,33234,593,778,220342,439371
6103,24156,717,785,297228,569956
6105,1083,47,350,24973,273121
6107,130759,1398,6376,355515,3625500
6109,20605,254,1316,102563,936649
6111,277491,1185,4229,748099,2476765
6113,72810,1088,2357,362839,1506715
6115,26576,2166,1951,851092,1340815
8001,180530,6205,10976,2024700,7874260
8003,6544,114,507,62676,358211
8005,246688,7993,12353,2710403,8894053
8007,5362,91,1945,4363,1527054
8009,1583,203,254,128588,217780
8011,2257,260,277,150529,210039
8013,134129,1940,3901,963162,2622326
8015,8399,258,1972,138467,1469458
8017,228,0,50,0,40776
8019,2302,0,404,0,267827
8021,1510,2,374,983,251101
8023,822,2,396,257,160441
8025,1203,57,167,42167,130999
8027,1538,4,372,2550,225357
8029,16806,178,6242,65900,5637482
8031,286967,15284,7413,6187331,4833642
8033,174,4,61,1705,53717
8035,108983,700,8149,181868,5159288
8037,9984,1956,1286,1777084,1015171
8039,7898,9,1135,3914,805882
8041,253922,9970,14666,3331642,9340570
8043,18369,380,1355,201603,1040301
8045,22630,533,2198,275570,1544168
8047,237,0,45,0,32527
8049,741,0,206,0,151868
8051,6959,189,1482,77946,966945
8053,46,1,7,299,4885
8055,2931,246,169,126678,120204
8057,197,0,25,0,20907
8059,234284,5353,9260,1684185,6707758
8061,432,0,114,0,94805
8063,2904,154,292,97728,190016
8065,3276,445,476,273987,263261
8067,22036,99,2561,59113,1710394
8069,133163,1554,11365,704957,7672730
8071,6722,374,531,208163,397630
8073,1127,14,300,4464,231770
8075,8242,360,532,197404,387600
8077,54582,936,3231,318171,1812949
8079,331,2,59,661,33517
8081,5825,271,299,135931,225595
8083,9374,242,1180,97204,894221
8085,12675,249,1537,120587,972395
8087,10978,364,736,174883,548905
8089,8523,535,560,268381,402682
8091,1165,0,228,0,100197
8093,4848,12,608,502,282749
8095,1999,91,315,45262,243092
8097,7521,603,807,407789,667515
8099,5084,569,429,248819,323694
8101,68537,2827,2741,1416699,2095172
8103,2272,262,283,132912,185928
8105,5966,283,680,101969,395563
8107,6703,13,3036,7856,2316092
8109,994,1,261,126,209234
8111,0,0,0,0,0
8113,1748,60,536,57016,500749
8115,1068,99,103,68477,75283
8117,2410,0,539,0,396811
8119,9486,13,1706,1282,1224966
8121,2061,117,225,41738,150945
8123,100875,2837,14318,968487,11248062
8125,4308,143,390,71509,294530
9001,349033,5109,1801,2431820,1207665
9003,368579,6827,4406,3724827,3161541
9005,78150,2375,3212,1531457,2615412
9007,70685,1527,1814,831187,1372715
9009,347768,7287,3176,4007623,2416457
9011,117886,2577,5852,1313918,4579518
9013,63017,868,7855,430455,7097411
9015,44036,1394,2290,635611,1773920
10001,69608,802,9980,305001,6496497
10003,225965,4646,11584,2612052,6766181
10005,120007,2347,28709,1496507,20357811
11001,285881,10758,10734,5953401,5852706
12001,114212,3056,11111,1041160,8169101
12003,9320,337,1436,151774,1139710
12005,98995,4054,11635,1687369,7217896
12007,10272,318,1190,168931,914635
12009,283688,17416,20727,6806879,15292348
12011,826476,39744,20934,15788306,12193447
12013,5300,323,622,182118,411153
12015,104103,4099,15703,1781263,8823223
12017,79333,4795,6583,2130735,4907573
12019,78053,2400,6614,892011,4954606
12021,204268,5601,24543,2296257,14249349
12023,23678,1381,2683,647512,1808180
12027,12429,137,2217,41169,1368769
12029,5907,438,1719,170047,1585794
12031,419596,13348,24997,5631072,15519665
12033,145796,7692,13558,3662293,10004557
12035,48586,2518,5626,819732,3911006
12037,5194,414,936,308932,665200
12039,18505,1272,1187,606692,789383
12041,6853,514,925,276905,693043
12043,4211,40,3004,21875,1431805
12045,8151,304,2160,163156,1561465
12047,4612,340,389,201369,266323
12049,9917,98,3029,8587,2033179
12051,13053,134,2681,89860,1848001
12053,85182,721,9937,274045,4696383
12055,61801,1316,11761,326928,8064068
12057,555090,15537,52856,5979267,30369120
12059,8886,284,1491,106730,1057143
12061,84371,3903,9684,1711488,7118091
12063,20660,1186,2641,540005,1892765
12065,6032,213,592,118608,375562
12067,2914,229,1282,139704,1218123
12069,152112,6992,18046,2604536,11875828
12071,369436,12907,49939,4335336,24635794
12073,124732,3460,8306,1623278,6052761
12075,18247,823,2665,346731,1982870
12077,3233,257,1192,122801,1132385
12079,10297,320,4058,132397,3513386
12081,183674,4406,21063,1549497,13223203
12083,167688,10113,14482,4093655,9636695
12085,80661,3499,5585,1382312,3884422
12086,957268,28629,27651,11511779,14868973
12087,45587,2026,4580,999112,2796394
12089,42407,1804,11048,783940,8986868
12091,100110,4119,9397,1797643,6959862
12093,17288,591,2038,225322,1450243
12095,479808,21973,24707,7192586,15784181
12097,126614,7343,18060,2303916,11434546
12099,683104,37196,29897,16870853,19734595
12101,236577,6927,21639,2499423,11707834
