"state","county","year","births","deaths","domesticmig","gqestimates","internationalmig","naturalinc","netmig","npopchg_","popestimate","rbirth","rdeath","rdomesticmig","residual","rinternationalmig","rnaturalinc","rnetmig"
1,35,2001,199,159,-178,79,3,40,-175,-146,13894,14.247869979,11.383976516,-12.74432591,-11,0.2147920097,2.8638934632,-12.5295339
1,35,2002,162,164,-187,79,3,-2,-184,-195,13699,11.742108506,11.887072808,-13.55416229,-9,0.2174464538,-0.144964303,-13.33671583
1,35,2003,172,174,-260,79,3,-2,-257,-263,13436,12.677353971,12.824765064,-19.16344205,-4,0.221116639,-0.147411093,-18.94232541
1,35,2004,153,187,-154,79,2,-34,-152,-198,13238,11.471845243,14.021144185,-11.54682462,-12,0.1499587613,-2.549298943,-11.39686586
1,35,2005,148,179,-23,79,3,-31,-20,-61,13177,11.205754306,13.552905546,-1.741434791,-10,0.2271436684,-2.34715124,-1.514291122
1,35,2006,175,153,112,79,4,22,116,132,13309,13.21452843,11.553273427,8.4572981953,-6,0.3020463641,1.6612550026,8.7593445594
1,35,2007,171,161,-173,79,5,10,-168,-159,13150,12.925658566,12.1697721,-13.07683586,-1,0.3779432329,0.7558864659,-12.69889263
1,35,2008,160,175,-70,79,4,-15,-66,-84,13066,12.206286237,13.350625572,-5.340250229,-3,0.3051571559,-1.144339335,-5.035093073
1,37,2001,112,113,-86,75,1,-1,-85,-97,11765,9.4806788843,9.5653278029,-7.279807,-11,0.0846489186,-0.084648919,-7.195158082
1,37,2002,121,119,-201,76,0,2,-201,-207,11558,10.376023668,10.204519144,-17.2362046,-8,0,0.1715045234,-17.2362046
1,37,2003,121,125,-96,75,-1,-4,-97,-114,11444,10.520824276,10.86862012,-8.347100252,-13,-0.086948961,-0.347795844,-8.434049213
1,37,2004,134,143,-244,75,2,-9,-242,-264,11180,11.84582744,12.641442716,-21.57001414,-13,0.1768033946,-0.795615276,-21.39321075
1,37,2005,94,152,-123,75,0,-58,-123,-191,10989,8.4803103433,13.712842257,-11.0965763,-10,0,-5.232531914,-11.0965763
1,37,2006,89,131,-64,75,1,-42,-63,-109,10880,8.1393753715,11.980428918,-5.853033975,-4,0.0914536559,-3.841053546,-5.761580319
1,37,2007,110,120,-31,79,1,-10,-30,-42,10838,10.129846211,11.050741321,-2.854774841,-2,0.092089511,-0.92089511,-2.76268533
1,37,2008,105,124,-2,79,0,-19,-2,-24,10814,9.6988730833,11.45390726,-0.18474044,-3,0,-1.755034177,-0.18474044
1,39,2001,433,484,-489,523,17,-51,-472,-551,36939,11.635249701,13.005683269,-13.1400395,-28,0.4568111892,-1.370433568,-12.68322831
1,39,2002,425,493,-191,523,14,-68,-177,-279,36660,11.54906996,13.396921154,-5.190287912,-34,0.3804399516,-1.847851194,-4.80984796
1,39,2003,464,517,-67,523,5,-53,-62,-169,36491,12.686087682,14.135145111,-1.831827316,-54,0.1367035311,-1.449057429,-1.695123785
1,39,2004,455,503,-119,523,18,-48,-101,-174,36317,12.498626525,13.817162949,-3.268871553,-25,0.4944511592,-1.318536425,-2.774420393
1,39,2005,465,495,322,523,12,-30,334,269,36586,12.75667668,13.579688079,8.8336556795,-35,0.3292045595,-0.823011399,9.1628602389
1,39,2006,467,558,287,523,16,-91,303,195,36781,12.730519171,15.211198495,7.8236809465,-17,0.4361633977,-2.480679324,8.2598443442
1,39,2007,464,488,169,523,9,-24,178,161,36942,12.587659211,13.238745032,4.5847293246,7,0.244157183,-0.651085821,4.8288865076
1,39,2008,479,502,-87,523,9,-23,-78,-86,36856,12.981381609,13.604704735,-2.357787474,15,0.243909049,-0.623323125,-2.113878425
1,41,2001,171,167,13,160,0,4,13,5,13701,12.48311859,12.191115816,0.9490090156,-12,0,0.292002774,0.9490090156
1,41,2002,179,189,-95,160,-1,-10,-96,-119,13582,13.121724151,13.854781366,-6.964043544,-13,-0.073305722,-0.733057215,-7.037349265
1,41,2003,164,196,35,160,-2,-32,33,-16,13566,12.08192132,14.439369383,2.5784588183,-17,-0.147340504,-2.357448062,2.4311183144
1,41,2004,184,174,39,160,2,10,41,41,13607,13.54285504,12.806830309,2.8704964487,-10,0.1472049461,0.7360247304,3.0177013948
1,41,2005,159,168,-39,160,0,-9,-39,-58,13549,11.710119311,12.372956253,-2.872293416,-10,0,-0.662836942,-2.872293416
1,41,2006,156,183,170,160,2,-27,172,139,13688,11.455006058,13.43760326,12.483019422,-6,0.146859052,-1.982597202,12.629878474
1,41,2007,178,157,63,160,0,21,63,78,13766,12.967145043,11.437313324,4.5894951555,-6,0,1.5298317185,4.5894951555
1,41,2008,188,159,-35,160,0,29,-35,-12,13754,13.662790698,11.555232558,-2.543604651,-6,0,2.1075581395,-2.543604651
1,43,2001,993,860,-76,998,96,133,20,74,77652,12.793918701,11.08033241,-0.979192166,-79,1.2368743155,1.7135862913,0.2576821491
1,43,2002,966,927,81,998,90,39,171,138,77790,12.429073223,11.927278342,1.0421893697,-72,1.1579881885,0.5017948817,2.2001775582
1,43,2003,932,886,262,998,71,46,333,272,78062,11.960064677,11.369761055,3.3621641044,-107,0.9111208069,0.5903036214,4.2732849113
1,43,2004,998,890,451,998,73,108,524,569,78631,12.738284416,11.359792716,5.7564792301,-63,0.9317582789,1.3784917003,6.688237509
1,43,2005,933,908,608,998,75,25,683,637,79268,11.817680923,11.501022806,7.7011254029,-71,0.9499743507,0.3166581169,8.6510997536
1,43,2006,998,894,288,998,77,104,365,429,79697,12.556223068,11.247758941,3.6234391218,-40,0.9687667097,1.3084641273,4.5922058315
1,43,2007,1001,937,568,998,65,64,633,710,80407,12.504372158,11.70489182,7.0953879978,13,0.8119722181,0.7994803378,7.9073602159
1,43,2008,1010,905,701,998,65,105,766,917,81324,12.489875163,11.191422795,8.668715336,46,0.8038038471,1.2984523684,9.4725191831
1,45,2001,799,442,-420,1665,24,357,-396,-80,48990,16.296145217,9.0148888436,-8.566183969,-41,0.4894962268,7.2812563736,-8.076687742
1,45,2002,726,442,-46,1665,-130,284,-176,60,49050,14.810281518,9.0167278662,-0.938392493,-48,-2.651978784,5.7935536516,-3.590371277
1,45,2003,756,469,123,1665,-386,287,-263,-40,49010,15.419131144,9.5655720987,2.5086681623,-64,-7.872730981,5.8535590455,-5.364062819
1,45,2004,744,464,-797,1665,195,280,-602,-377,48633,15.239187653,9.504009504,-16.32477495,-55,3.9941419252,5.735178149,-12.33063302
1,45,2005,777,426,-674,1665,-39,351,-713,-398,48235,16.042449519,8.7954742536,-13.91584424,-36,-0.805219474,7.2469752653,-14.72106372
1,45,2006,758,495,-592,1665,108,263,-484,-242,47993,15.754250322,10.288065844,-12.30411107,-21,2.2446689113,5.4661844785,-10.05944216
1,45,2007,736,426,-133,1665,-9,310,-142,153,48146,15.311164044,8.8621683188,-2.766827198,-15,-0.187228908,6.4489957249,-2.954056106
1,45,2008,717,464,-115,1665,18,253,-97,146,48292,14.869657189,9.6227628113,-2.38495199,-10,0.3732968332,5.2468943777,-2.011655157
