"pop08","pop00_est","pop_change_perc","pop_change","pop00","pop_under5","pop_under5_perc","pop_under18","pop_under18_perc","pop_over65","pop_over65_perc","pop_female","pop_white","pop_black","pop_indian","pop_asian","pop_pi","pop_multiracial","pop_hispanic","pop_nonhispanic","pop_white_perc","pop_black_perc","pop_indian_perc","pop_asian_perc","pop_pi_perc","pop_multiracial_perc","pop_hispanic_perc","pop_nothispanic_perc","births","deaths","deaths_infact","same_house_perc","foreign_born_perc","foreign_lang_perc","gse_perc","bachelor_perc","disabled","travel_time","houses07","houses_change","houses_change_perc","owner_occupied","value00","units_in_structure","household","household_size","income_percap_99","income_hhold_07","poverty_perc","income_personal_06","income_percap_06","laborforce","unemploy","unemploy_rate","employ_all","employ_change","employ_govt","earnings","earnings_job","employers","employ_private","employ_private_change","nonemployer","hospitality","firms","firms_black_perc","firms_indian_perc","firms_asian_perc","firms_hispanic_perc","firms_pi_perc","firms_female_perc","manufact","trade_wholesale","trade_retail","trade_retail_percap","houses_new","houses_new_value","farms","govt_exp","govt_exp_percap","area","popdens","state","county"
11043,12158,-9.2,-1115,12158,705,6.4,2678,24.3,14.6,1609,49.9,10336,53,352,61,1,198,1084,9323,94,0.5,3.2,0.6,0,1.8,9.9,84.7,143,119,0,58.4,3.1,7.2,88.1,15.3,1771,14.5,5475,-13,-0.2,70.1,71700,15.9,4780,2.5,18407,47560,12.9,333,30261,5686,186,3.3,7606,-407,1115,286986,37732,350,3109,-7.9,742,9628,1095,0,0,0,0,0,0,0,79076,95272,8038,28,2580,675091,79301,7209,1075.29,11.3,31,13
2090,2438,-14.3,-348,2438,74,3.5,406,19.2,24.2,512,51.3,2092,1,13,4,0,9,3,2089,98.7,0,0.6,0.2,0,0.4,0.1,98.6,8,34,0,75,0.4,3.3,83,12.8,422,15.2,1433,27,1.9,80.2,22500,1.8,1014,2.36,13840,29358,13.8,47,21783,1069,33,3.1,1380,-91,246,18691,13544,74,363,-15.8,194,375,287,0,0,0,0,0,0,0,0,0,0,0,0,308008,21219,10014,540.05,4.5,31,15
3149,3525,-10.7,-376,3525,153,4.8,622,19.4,24.2,777,50.6,3166,1,8,12,1,19,37,3133,98.7,0,0.2,0.4,0,0.6,1.2,97.7,25,35,0,66.7,0.7,2.3,83.3,17.2,657,13.4,1939,23,1.2,74.2,42700,5.7,1530,2.27,15924,34337,12.7,90,27220,1784,51,2.9,2368,37,403,55348,23373,143,904,2.5,353,2089,473,0,0,0,0,0,32.6,0,0,39786,11416,1,100,686466,29240,9118,1221.28,2.9,31,17
45354,42259,7.3,3095,42259,3201,7.1,10760,23.9,11.5,5159,50.8,43688,370,183,330,16,389,2436,41354,97.1,0.8,0.4,0.7,0,0.9,5.4,91.9,638,308,0,47.8,2.6,6.7,89.2,30.2,5618,15.6,18597,1767,10.5,63.6,91300,21.1,15930,2.48,17510,46786,10.6,1302,29207,28663,643,2.2,34935,3906,4109,1086423,31098,1455,22050,11.8,3317,78952,4180,0,0,0,0,0,28.1,0,0,583227,13626,127,21867,601256,216174,4806,967.99,43.7,31,19
7023,7791,-9.9,-768,7791,369,5.2,1545,21.9,22.3,1572,51.2,6866,20,99,15,2,57,118,6759,97.3,0.3,1.4,0.2,0,0.8,1.7,95.8,88,102,0,63.5,1.1,2.6,84.1,14.2,1092,22.9,3757,34,0.9,75.8,59700,7.5,3155,2.43,16654,40005,11.8,200,27921,3918,155,4,3634,-155,677,76794,21132,205,1075,-17.7,582,2875,710,0,0,0,0,0,0,0,34065,43032,5684,2,374,310113,61562,8721,492.77,15.8,31,21
8326,8861,-6,-535,8767,431,5.1,1967,23.5,17.3,1452,48.9,8293,13,12,13,11,35,249,8061,99,0.2,0.1,0.2,0.1,0.4,3,96.2,66,106,0,69,0.9,7.3,83.4,13.6,1413,23.9,4132,117,2.9,75.8,62900,5.9,3426,2.53,16394,42679,9.3,221,26283,4800,127,2.6,4559,165,669,100562,22058,201,2172,22,650,1922,766,0,0,0,0,0,0,0,15920,48065,5399,9,1415,374634,57775,6897,583.59,15,31,23
25598,24334,5.2,1264,24334,1631,6.4,6491,25.4,12.2,3119,50.7,24959,181,87,155,4,191,545,24433,97.6,0.7,0.3,0.6,0,0.7,2.1,95.5,334,207,0,57.9,1.2,3.4,89.4,18.7,3566,27,11129,950,9.3,79.5,95400,7.1,9161,2.63,20156,57090,6.4,855,33537,14253,453,3.2,10229,1091,1353,219256,21435,554,3810,-4.7,1778,11301,2121,0,0,0,0,0,35.3,0,0,149131,6005,84,9887,320187,158349,6191,559.18,43.5,31,25
8407,9615,-12.6,-1208,9615,491,5.8,2074,24.3,20.4,1739,49.5,8457,11,24,5,1,32,55,8405,99.1,0.1,0.3,0.1,0,0.4,0.6,98.5,126,104,0,72.7,0.4,2.5,83.5,13,1194,17.5,4295,95,2.3,80.6,55200,6,3623,2.6,15515,42402,9.2,262,30127,4757,118,2.5,5606,134,755,158497,28273,286,1711,-3.3,645,2843,911,0,0,0,0,0,12.1,0,56941,61220,6564,14,1996,459952,72567,8507,740.23,13,31,27
3629,4068,-10.8,-439,4068,203,5.5,748,20.2,21.8,808,51.2,3669,7,7,5,1,9,190,3480,99.2,0.2,0.2,0.1,0,0.2,5.1,94.1,46,52,0,61.8,1.4,2.9,86.4,16.6,640,12.9,1951,24,1.2,76.9,56900,3.3,1662,2.39,17490,39845,10.4,108,28660,2030,50,2.5,2768,130,519,68489,24743,144,1047,6,369,2505,483,0,0,0,0,0,0,0,107447,75272,18818,2,680,539607,41194,11140,894.5,4.5,31,29
5609,6148,-8.8,-539,6148,336,5.9,1286,22.5,18.1,1034,49.6,5359,5,234,25,11,84,61,5308,93.7,0.1,4.1,0.4,0.2,1.5,1.1,92.8,81,65,0,60,0.7,2.6,85.2,19.4,981,12.4,3313,93,2.9,62.4,63300,8.1,2508,2.42,15943,35901,12.6,158,27258,3431,77,2.2,4224,171,599,90232,21362,221,1826,15.1,498,8518,661,0,0,0,0,0,21.9,0,82265,67398,11085,12,1285,3777285,39959,6988,5960.52,1,31,31
9965,9830,1.4,135,9830,664,6.7,2385,23.9,15.8,1579,50.7,9707,18,75,86,3,83,513,9219,97.3,0.2,0.8,0.9,0,0.8,5.1,92.4,137,121,0,59.3,0.9,3.5,86.7,16.8,1658,15.5,4827,258,5.6,72.8,56500,16.3,4071,2.38,17437,45007,10.6,341,34769,5246,130,2.5,8317,967,878,283557,34094,313,4048,-6.1,689,15885,957,0,0,0,0,0,25,0,31422,0,0,48,7114,803181,71871,7207,1196.34,8.2,31,33
6270,7039,-10.9,-769,7039,323,5.1,1429,22.6,18.6,1175,51.3,6226,24,36,22,0,22,310,5940,98.4,0.4,0.6,0.3,0,0.3,4.9,93.8,72,74,0,65.4,2.6,6.4,86.7,16.2,1122,19.9,3100,34,1.1,77.8,50900,7,2756,2.52,16870,41731,10.5,179,27874,3141,91,2.9,4073,-315,836,114546,28123,169,1075,-15.9,495,3071,642,0,0,0,0,0,20.6,0,0,42957,6231,10,1365,373994,66281,10471,573.03,12.3,31,35
9989,10441,-4.3,-452,10441,957,9.6,2895,29,14.5,1443,47.3,9743,24,50,70,30,57,3656,6219,97.7,0.2,0.5,0.7,0.3,0.6,36.7,62.4,215,104,0,61.3,18.2,28.6,72,11.5,1669,18.6,4115,28,0.7,75.2,57800,10.1,3682,2.8,15148,42057,10.9,283,28301,5706,130,2.3,6741,92,697,210365,31207,263,3598,-4.1,487,4675,766,0,0,0,0,0,26.5,0,35069,74544,7097,14,2176,244361,64689,6486,413.14,25.3,31,37
9306,10203,-8.8,-897,10203,624,6.7,2263,24.2,20.6,1927,49.2,9255,16,40,19,3,32,806,8464,98.8,0.2,0.4,0.2,0,0.3,8.6,90.4,123,127,0,67.5,3.8,7.3,78.7,12.3,1325,15.5,4331,48,1.1,71.4,66000,10.1,3945,2.53,16443,41788,9.3,296,31223,5049,141,2.8,6341,-494,744,197083,31081,350,2983,-9.6,692,6132,989,0,0,0,0,0,0,0,0,121266,12123,9,1603,365994,68267,7290,572,17.8,31,39
10842,11793,-8.1,-951,11793,636,5.9,2571,23.7,21,2280,50.8,10686,9,62,25,0,67,142,10549,98.5,0.1,0.6,0.2,0,0.6,1.3,97.2,134,174,0,63.8,0.4,2.9,87.5,16.1,1972,17.7,5653,68,1.2,73,45100,8,4826,2.39,16171,38706,12.4,329,30030,6005,137,2.3,7370,306,953,213150,28921,378,2703,4.6,1081,5939,1333,0,0,0,0,0,0,0,58001,79594,6882,2,130,1501959,96815,8924,2575.71,4.6,31,41
20174,20253,-0.4,-79,20253,1821,9,6217,30.6,9.9,2009,50,18446,365,506,726,16,253,6049,12624,90.8,1.8,2.5,3.6,0.1,1.2,29.8,62.2,93,186,0,51.8,15.6,24.7,73.5,12.4,2942,17.3,7734,206,2.7,67.4,81200,18.2,7095,2.81,16125,44002,11.8,497,24635,10843,317,2.9,13688,-482,1284,497277,36329,448,11483,5.5,988,21377,1378,0,0,0,0,0,18.4,0,0,131451,6441,33,3934,151599,84980,4184,263.8,76.7,31,43
8724,9060,-3.7,-336,9060,476,5.4,1722,19.5,15.1,1334,51.6,8183,119,346,34,5,131,248,7982,92.8,1.3,3.9,0.4,0.1,1.5,2.8,90.5,95,89,0,47.7,2.2,4.8,86.9,28.4,1257,13.3,4027,23,0.6,62.7,55200,15.1,3512,2.28,16353,34759,18.2,195,22333,4848,128,2.6,5891,355,1251,118969,20195,310,2233,4.2,674,12416,909,0,0,0,0,0,23,0,51889,120282,13310,9,1047,786277,65064,7379,1396.24,6.5,31,45
